item_type,ofertados,vendidos,zero_lance,martelo_medio,lances_medio,ao_vivo,martelo_mediano,sell_through,zero_bid_rate
outro,576007,325643,245164,400.5423270268361,4.026129841574976,1338,34.0,0.5653455600365968,0.4256267718968693
moeda,155073,87768,66582,253.57971014492753,5.398721629751162,6,71.0,0.5659786036253893,0.4293590760480548
brinquedo,135756,85776,48371,90.05036373810856,3.1702574146614437,37,60.0,0.6318394767082118,0.35630837679365923
joia,102762,40063,59313,1551.3324264283754,5.959563687192672,432,240.0,0.3898620112492945,0.577188065627372
disco_vinil,79374,60810,18146,72.48549580661076,6.2010853478046375,6,42.0,0.7661198881245748,0.2286139037972132
prata_metal,76155,53000,21878,385.8598867924528,6.18966037735849,674,120.0,0.6959490512770009,0.2872825159214759
quadro_pintura,72247,23116,47740,1119.7865980273405,4.135274268904655,1291,200.0,0.31995792212825447,0.6607886832671253
cedula,62500,28113,34258,89.01917262476434,3.5779532600576247,0,30.0,0.449808,0.548128
livro,53258,28221,24636,110.37011445377556,4.5806668792742995,108,30.0,0.5298922227646551,0.46257839197866985
porcelana_ceramica,52532,26833,24390,176.74684157567174,4.044050236648903,1730,72.0,0.5107934211528211,0.4642884337165918
cristal_vidro,47051,19303,26639,240.1178573278765,3.8762368543749677,1845,88.0,0.4102569552188051,0.566172876240675
gravura,46258,11503,34040,420.3980700686777,3.6682604537946624,1713,200.0,0.24867050023779672,0.7358727139089455
escultura,45444,15350,29083,717.4826710097719,5.055830618892508,788,170.0,0.3377783645805827,0.6399744740779861
selo_filatelia,36022,24011,11831,74.48152929907125,3.5932281037857647,42,15.0,0.6665648770195991,0.3284381766698129
mesa,20153,9958,9601,743.0667804780077,6.14591283390239,581,141.0,0.4941199821366546,0.47640549794075326
medalha,16604,8339,8060,386.4017268257585,4.945197265859216,60,90.0,0.5022283787039268,0.4854251987472898
relogio,15300,8783,6093,539.956165319367,7.09290675167938,2,120.0,0.5740522875816993,0.3982352941176471
luminaria_lustre,14195,7174,6622,894.3891831614162,7.286729857819905,194,200.0,0.5053892215568863,0.4665022895385699
banco,10237,5963,4096,1201.7633741405332,8.553748113365755,104,120.0,0.5824948715443977,0.4001172218423366
cadeira,5946,3293,2349,1933.947464318251,12.027634375948983,184,550.0,0.5538176925664312,0.39505549949545915
poltrona,5811,3404,1954,4848.88866039953,19.241186839012926,192,2100.0,0.5857855790741697,0.336258819480296
tapete,5558,2814,2534,1509.45486851457,7.7533759772565745,424,400.0,0.5062972292191436,0.45591939546599497
fotografia,5039,2242,2707,243.30240856378234,3.330508474576271,17,60.0,0.44492954951379243,0.5372097638420321
objeto_decorativo,4766,2283,2355,363.08979413053,5.331581252737626,52,120.0,0.4790180444817457,0.4941250524548888
espelho,4445,2519,1769,926.9003572846368,8.560142913854705,148,350.0,0.5667041619797525,0.39797525309336335
par_de_poltronas,3370,2126,974,6919.073377234243,21.83254938852305,65,3600.0,0.6308605341246291,0.2890207715133531
mesa_de_centro,3269,1929,1138,2827.0082944530845,14.991705546915501,109,1100.0,0.5900887121443866,0.34811869073111046
sofa,3176,2014,888,5924.325719960278,18.90814299900695,84,2600.0,0.6341309823677582,0.2795969773299748
aparador,2868,1556,1151,3889.003213367609,13.273136246786633,119,1100.0,0.5425383542538355,0.4013249651324965
mesa_lateral,2866,1768,903,1196.9558823529412,10.776018099547512,107,460.0,0.6168876482903001,0.31507327285415215
estante,2693,1494,1092,2374.1425702811243,10.72958500669344,90,650.0,0.5547716301522466,0.4054957296695135
conjunto_de_cadeiras,2382,1598,621,5316.80788485607,18.726533166458072,50,2100.0,0.670864819479429,0.2607052896725441
mesa_de_jantar,1932,1074,692,4383.805400372439,15.869646182495345,39,1900.0,0.5559006211180124,0.3581780538302277
par_de_cadeiras,1818,944,792,2169.365466101695,13.08156779661017,73,800.0,0.5192519251925193,0.43564356435643564
cama,1427,832,536,1508.8533653846155,10.314903846153847,49,400.0,0.5830413454800281,0.37561317449194115
armario,1189,597,573,1101.6214405360133,5.822445561139029,39,140.0,0.5021026072329688,0.4819175777964676
comoda,1154,637,455,2110.6546310832027,11.536891679748823,50,850.0,0.5519930675909879,0.39428076256499134
escrivaninha,1054,581,397,3365.390705679862,13.905335628227194,35,1400.0,0.5512333965844403,0.3766603415559772
cristaleira,606,305,283,479.0426229508197,5.39344262295082,21,140.0,0.5033003300330033,0.466996699669967
carrinho_de_cha,486,326,122,3694.8159509202455,16.45398773006135,12,1000.0,0.6707818930041153,0.25102880658436216
livro_arte,21,11,10,35.45454545454545,2.090909090909091,0,15.0,0.5238095238095238,0.47619047619047616
