house_domain,lot_id,title,uf,lot_url,item_type_normalized,designer,attribution_strength,condition_tier,size_class,current_bid_brl,bid_count,est_resale_base,est_total_cost,est_gross_profit,est_gross_margin_pct,max_bid_40pct,confidence,signal,signal_reasons
joaodefrancoleiloeiro.com.br,31453652,"Mesa estilo GIUSEPPE SCAPINELLI: Antiga base de mesa de centro, aparador e mesa de jantar dos anos 50 necessitando restauros gerais partes quebradas necessita colagem",RJ,https://joaodefrancoleiloeiro.com.br/peca.asp?Id=31453652,mesa_de_centro,giuseppe_scapinelli,STATED,heavy,large,100.0,1,7020.0,1855.0,2015.0,0.5207,544.76,0.85,BUY_NOW,margem 52%; comps=108; designer=giuseppe_scapinelli(STATED) | base=designer_comps (conservador p25)
interiorantigo.com.br,31512105,"Mesa Auxiliar, Giuseppe Scapinelli - Produzida em caviúna, destaca-se pelo desenho elegante e pela qualidade construtiva, características marcantes da produção de Giuseppe Scapinelli. A madeira nobre confere resistência, durabilidade e beleza natural à peça. Medidas: 80 cm de comprimento, 35 cm de largura e 50 cm de altura, por se tratar de uma peça de época, pode conter avarias que realçam sua autenticidade e valor histórico.",SP,https://interiorantigo.com.br/peca.asp?Id=31512105,mesa_lateral,giuseppe_scapinelli,STATED,none,medium,900.0,2,5220.0,1215.0,1876.5,0.607,1509.43,0.85,BUY_NOW,margem 61%; comps=56; designer=giuseppe_scapinelli(STATED) | base=designer_comps (conservador p25)
nossopassado.com.br,31395634,"Celina Zilberberg - Celina Decorações - Brasil, C.1960 - Espetacular par de mesas laterais em jacarandá maciço e tampo de mármore. Mesas restauradas e SELADAS. 58x50h cm",RJ,https://nossopassado.com.br/peca.asp?Id=31395634,outro,celina,STATED,none,medium,1600.0,2,6030.0,1950.0,1830.0,0.4841,1902.86,0.85,BUY_NOW,margem 48%; comps=37; designer=celina(STATED) | base=designer_comps (conservador p25)
interiorantigo.com.br,31512078,"Mesa Auxiliar, Giuseppe Scapinelli - Produzida em caviúna, destaca-se pelo desenho elegante e pela qualidade construtiva, características marcantes da obra de Scapinelli. A madeira nobre confere à peça resistência e beleza natural, valorizando seu caráter moderno e atemporal. Medidas: 80 cm de comprimento, 35 cm de largura e 50 cm de altura, por se tratar de uma peça de época, pode conter avarias que realçam sua autenticidade e valor histórico.",SP,https://interiorantigo.com.br/peca.asp?Id=31512078,mesa_lateral,giuseppe_scapinelli,STATED,none,medium,950.0,4,5220.0,1267.5,1824.0,0.59,1509.43,0.85,BUY_NOW,margem 59%; comps=56; designer=giuseppe_scapinelli(STATED) | base=designer_comps (conservador p25)
mazzola368leiloes.com.br,31033511,"Par de poltronas em ferro tubular anos 60 ,na cor preta com estofado laranja ,med:77x54x47",SP,https://mazzola368leiloes.com.br/peca.asp?Id=31033511,par_de_poltronas,,NONE,none,large,390.0,0,6480.0,959.5,1583.0,0.6226,929.05,0.65,BUY_NOW,margem 62%; comps=2126 | base=type_comps (conservador p25)
mazzola368leiloes.com.br,31033511,"Par de poltronas em ferro tubular anos 60 ,na cor preta com estofado laranja ,med:77x54x47",SP,https://mazzola368leiloes.com.br/peca.asp?Id=31033511,par_de_poltronas,,NONE,none,large,390.0,0,6480.0,959.5,1583.0,0.6226,929.05,0.65,BUY_NOW,margem 62%; comps=2126 | base=type_comps (conservador p25)
stippleiloeiro.com.br,31240227,"ATHOS BULCÃO  -  Gravura:  Aeroporto Internacional de Brasília, 1993 I Medidas: 43x61 cm I Assinada e chancelada no CID I edição: xx/50. Acompanha certificado de autenticidade de ediçao. Possui chancela de autenticaçao da FundAthos. Exemplar equivalente reproduzido do catálogo do acervo da FundAthos à página 98 sob o código II-GRV-0074",,https://stippleiloeiro.com.br/peca.asp?Id=31240227,gravura,athos_bulcao,DOCUMENTED,none,small,1200.0,1,4383.0,1380.0,1549.5,0.5289,1559.71,0.7,BUY_NOW,margem 53%; comps=4; designer=athos_bulcao(DOCUMENTED) | base=designer_comps (conservador p25)
stippleiloeiro.com.br,31240233,"ATHOS BULCÃO  -  Gravura:  Aeroporto Internacional de Brasília, 1993  Medidas: 43x61 cm I Assinada e chancelada no CID I edição: xx/50. acompanha certificado de autenticidade de ediçao. Possui chancela de autenticaçao da FundAthos. Exemplar equivalente reproduzido do catálogo do acervo da FundAthos à página 98 sob o código II-GRV-0073",,https://stippleiloeiro.com.br/peca.asp?Id=31240233,gravura,athos_bulcao,DOCUMENTED,none,small,1300.0,2,4383.0,1485.0,1444.5,0.4931,1559.71,0.7,BUY_NOW,margem 49%; comps=4; designer=athos_bulcao(DOCUMENTED) | base=designer_comps (conservador p25)
prochicleiloes.com.br,31495060,"Espelho redondo de parede em madeira de jacarandá, possivelmente Sérgio Rodrigues. Medindo 70cm x 5,3cm de espessura.",,https://prochicleiloes.com.br/peca.asp?Id=31495060,espelho,sergio_rodrigues,STATED,none,large,1500.0,0,7020.0,2125.0,1430.4500000000003,0.4023,1507.88,0.85,BUY_NOW,margem 40%; comps=116; designer=sergio_rodrigues(STATED) | base=designer_comps (conservador p25)
arsleiloes.com.br,31490462,Roberto Burle Marx - Serigrafia - Abstratos (incluindo design do calçadão de Ipanema) Medidas 50 x 70 cm. Prova do Editor. Limitada a 30 impressões. Sem data. Assinada na matriz no cantor inferior  direito.,,https://arsleiloes.com.br/peca.asp?Id=31490462,gravura,burle_marx,DOCUMENTED,none,small,675.0,0,2700.0,828.75,1331.25,0.6163,1120.0,0.85,BUY_NOW,margem 62%; comps=50; designer=burle_marx(DOCUMENTED) | base=designer_comps (conservador p25)
arsleiloes.com.br,31490430,Roberto Burle Marx - Serigrafia - Abstrato.  Medidas 50 x 70 cm. Prova do Editor. Limitada a 30 impressões. Sem data. Assinada na matriz no cantor inferior  direito.,,https://arsleiloes.com.br/peca.asp?Id=31490430,gravura,burle_marx,DOCUMENTED,none,small,675.0,0,2700.0,828.75,1331.25,0.6163,1120.0,0.85,BUY_NOW,margem 62%; comps=50; designer=burle_marx(DOCUMENTED) | base=designer_comps (conservador p25)
pascavalcante.com.br,31073914,"Conjunto de sofá de três lugares e 2 poltronas, madeira nobre, revestido em courvin marrom. Sofá 170x75x95cm / Poltronas 87x68x55cm. Marcas de uso. Precisam de reparo.",RJ,https://pascavalcante.com.br/peca.asp?Id=31073914,par_de_poltronas,,NONE,light,large,499.0,0,6480.0,1373.95,1168.55,0.4596,643.33,0.65,BUY_NOW,margem 46%; comps=2126 | base=type_comps (conservador p25)
vitornaves.com.br,31148373,Par de poltronas no formato Gondole no estilo clássico europeu. Braços em volutas curvados até o assento e pés Cabriolet com pernas dianteiras levemente curvadas. Tapeçaria em cores distintas. Apresenta sinais de uso no estofado e uma delas com uma rachadura que pode ser vista na foto. Med.: 78 x 79 x 53cm.,RJ,https://vitornaves.com.br/peca.asp?Id=31148373,par_de_poltronas,,NONE,light,large,580.0,0,6480.0,1459.0,1083.5,0.4262,643.33,0.65,BUY_NOW,margem 43%; comps=2126 | base=type_comps (conservador p25)
